epoch,auc,binary_accuracy,loss,precision,recall,val_auc,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.9790462851524353,0.970450758934021,0.08413124829530716,0.8624305725097656,0.7860020399093628,NA,NA,NA,NA,NA
1,0.9724855422973633,0.9652212262153625,0.09744172543287277,0.8315290808677673,0.7531514167785645,NA,NA,NA,NA,NA
2,0.9738461971282959,0.9654110670089722,0.09550892561674118,0.8440276980400085,0.7393844723701477,NA,NA,NA,NA,NA
3,0.9761837124824524,0.967513918876648,0.09057729691267014,0.8591415286064148,0.7499274015426636,NA,NA,NA,NA,NA
4,0.9768877625465393,0.9683730602264404,0.08896095305681229,0.8682531714439392,0.7507802844047546,NA,NA,NA,NA,NA
0,0.9951683282852173,0.9895990490913391,0.0293573085218668,0.9517514109611511,0.8937212228775024,NA,NA,NA,NA,NA
1,0.9937941431999207,0.9889713525772095,0.03171573206782341,0.9539797306060791,0.8817222118377686,NA,NA,NA,NA,NA
2,0.9940551519393921,0.9890463352203369,0.031236013397574425,0.952684223651886,0.8842086791992188,NA,NA,NA,NA,NA
3,0.9944139719009399,0.9893094301223755,0.030499178916215897,0.9542281031608582,0.8866420984268188,NA,NA,NA,NA,NA
4,0.9937549233436584,0.9892690777778625,0.031127674505114555,0.9552175402641296,0.8850520849227905,NA,NA,NA,NA,NA
